census_tract_fips,population_total,population_under_18,pct_white,pct_black,pct_asian,pct_other,pct_hispanic,pct_white_nh,pct_black_nh,pct_asian_nh,pct_other_nh,median_income,median_income_2010_adj,pct_poverty,pct_poverty_under_18,pct_assisted_income,pct_no_hs,pct_hs,pct_bach,pct_higher_than_bach,pct_hs_dropout,pct_female_hh,pct_single_parent,pct_unemployed,pct_vacant_housing,pct_owner_occupied,median_rent,median_rent_2010_adj,median_home_value,median_home_value_2010_adj,area_m2
010730022,4099,1204,80,20,0,0,82,NA,NA,NA,NA,NA,NA,11,10,3,57,38,4,1,32,NA,NA,1,3,75,NA,NA,NA,NA,2208093
01073002301,4681,2120,46,54,0,0,100,NA,NA,NA,NA,NA,NA,42,46,10,71,27,2,1,19,NA,NA,3,2,41,NA,NA,NA,NA,3108911
01073002302,8328,2270,95,4,0,0,73,NA,NA,NA,NA,NA,NA,3,3,1,35,47,12,6,6,NA,NA,2,3,83,NA,NA,NA,NA,6912914
010730024,3737,1766,15,85,0,0,85,NA,NA,NA,NA,NA,NA,40,50,7,73,25,2,0,19,NA,NA,5,5,28,NA,NA,NA,NA,1637955
010730025,871,251,49,51,0,0,NA,NA,NA,NA,NA,NA,NA,19,18,2,72,24,3,1,34,NA,NA,3,6,41,NA,NA,NA,NA,1409527
010730026,2129,728,28,72,0,0,0,NA,NA,NA,NA,NA,NA,65,68,17,85,14,1,0,29,NA,NA,6,4,3,NA,NA,NA,NA,2220379
010730027,2260,183,78,21,0,0,33,NA,NA,NA,NA,NA,NA,46,51,11,59,34,4,3,42,NA,NA,3,5,0,NA,NA,NA,NA,1245192
01073002801,997,221,4,96,0,0,NA,NA,NA,NA,NA,NA,NA,50,39,10,78,16,3,3,19,NA,NA,3,5,3,NA,NA,NA,NA,782971
01073002802,2564,822,0,100,0,0,100,NA,NA,NA,NA,NA,NA,44,50,8,83,14,2,1,29,NA,NA,6,3,10,NA,NA,NA,NA,1653767
010730029,6122,2039,0,100,0,0,73,NA,NA,NA,NA,NA,NA,38,43,11,69,25,4,1,18,NA,NA,3,2,21,NA,NA,NA,NA,1226261
010730030,7859,2215,65,34,0,0,89,NA,NA,NA,NA,NA,NA,23,30,5,58,33,5,4,23,NA,NA,2,6,45,NA,NA,NA,NA,2640109
010730031,4678,1151,100,0,0,0,61,NA,NA,NA,NA,NA,NA,7,8,1,47,47,4,2,12,NA,NA,2,6,67,NA,NA,NA,NA,1959198
010730032,4807,2091,11,89,0,0,NA,NA,NA,NA,NA,NA,NA,41,43,13,72,27,1,1,17,NA,NA,4,5,18,NA,NA,NA,NA,1190249
010730033,6128,2210,4,96,0,0,0,NA,NA,NA,NA,NA,NA,32,36,4,74,24,2,0,16,NA,NA,3,4,46,NA,NA,NA,NA,3095158
010730034,4345,1212,88,11,0,0,100,NA,NA,NA,NA,NA,NA,15,16,2,68,29,2,1,17,NA,NA,3,7,59,NA,NA,NA,NA,3418514
010730035,3818,1146,72,28,0,0,NA,NA,NA,NA,NA,NA,NA,17,18,4,68,30,2,1,22,NA,NA,1,6,76,NA,NA,NA,NA,3818271
010730036,5049,1302,92,8,0,0,0,NA,NA,NA,NA,NA,NA,5,9,1,39,50,6,4,12,NA,NA,2,2,86,NA,NA,NA,NA,1899469
010730037,4872,1155,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,4,1,43,50,4,3,14,NA,NA,1,4,74,NA,NA,NA,NA,1946040
010730038,12382,3911,94,6,0,0,73,NA,NA,NA,NA,NA,NA,7,6,2,46,50,3,1,14,NA,NA,2,3,80,NA,NA,NA,NA,5537394
